N,P,K,temperature,humidity,ph,rainfall,label
57,59,45,37.23,92.22,6.87,71.29,papaya
76,38,42,23.88,77.72,6.46,191.12,jute
112,37,29,24.98,60.26,7.34,143.36,coffee
22,63,82,18.76,17.44,7.02,74.04,chickpea
51,58,50,35.76,91.52,6.79,121.4,papaya
44,52,52,38.47,93.56,6.81,187.57,papaya
92,17,54,26.9,88.89,6.7,52.03,watermelon
24,46,19,26.43,45.72,4.21,41.63,mothbeans
26,47,19,33.19,80.69,6.7,49.8,mungbean
27,21,11,19.24,93.77,6.67,104.46,orange
98,15,45,28.2,92.47,6.39,23.98,muskmelon
84,22,24,25.41,61.12,6.12,139.16,coffee
27,20,41,22.22,85.84,6.44,109.41,pomegranate
22,57,19,26.08,65.05,8.26,48.74,mothbeans
87,17,51,27.92,92.17,6.5,20.09,muskmelon
31,19,29,32.12,50.42,6.27,88.11,mango
90,43,41,23.5,90.67,6.03,260.86,rice
117,32,19,24.88,79.18,6.37,70.2,cotton
23,60,23,30.76,59.3,6.53,57.04,mothbeans
16,70,81,17.38,15.18,6.78,71.03,chickpea
128,47,19,24.04,81.0,6.71,74.18,cotton
25,75,16,33.24,55.7,5.65,146.07,pigeonpeas
18,134,198,20.93,91.34,5.59,109.62,apple
14,21,36,26.33,96.83,6.24,217.77,coconut
53,64,23,30.45,65.06,7.15,72.9,blackgram
94,14,50,27.39,93.9,6.43,24.39,muskmelon
86,42,18,19.75,64.15,6.21,87.14,maize
43,58,21,19.03,21.76,5.68,94.85,kidneybeans
19,28,31,32.33,50.57,5.66,88.04,mango
26,75,19,34.85,52.15,6.67,139.11,pigeonpeas
24,36,22,30.11,87.52,6.95,46.11,mungbean
90,80,51,27.59,82.51,6.19,116.23,banana
94,48,37,22.52,83.57,6.68,251.51,rice
87,49,22,24.96,63.14,6.28,91.73,maize
20,133,198,21.47,82.77,6.29,69.94,grapes
30,17,31,26.43,93.36,6.25,173.25,coconut
48,54,51,40.9,92.34,6.78,219.09,papaya
16,23,35,20.47,87.51,6.35,101.29,pomegranate
27,62,20,20.98,21.76,5.96,93.73,kidneybeans
106,25,26,24.64,67.68,6.93,184.27,coffee
131,48,21,25.38,81.17,7.26,55.77,cotton
52,57,49,34.05,89.38,6.91,137.29,papaya
21,72,25,28.08,65.91,6.63,49.49,lentil
92,15,52,27.53,92.95,6.47,23.97,muskmelon
50,66,19,32.28,66.48,7.23,63.24,blackgram
23,66,17,27.16,67.97,6.47,45.19,lentil
22,55,19,26.89,59.53,5.88,146.66,pigeonpeas
24,61,19,28.03,66.86,5.79,49.29,lentil
93,15,52,24.54,87.27,6.45,53.09,watermelon
90,17,51,25.93,82.99,6.02,49.03,watermelon
36,62,15,32.42,60.43,5.19,134.87,pigeonpeas
37,18,28,26.15,95.58,5.91,184.32,coconut
22,132,195,33.88,83.35,5.69,68.32,grapes
123,25,53,26.03,83.46,6.65,57.62,watermelon
29,66,25,18.28,22.68,5.62,94.53,kidneybeans
29,138,199,21.81,81.67,6.5,67.4,grapes
30,17,15,22.57,91.89,6.94,114.51,orange
28,67,18,23.67,62.73,6.68,46.97,lentil
106,21,46,27.93,93.31,6.66,20.68,muskmelon
30,61,24,19.84,21.22,5.98,87.2,kidneybeans
79,43,18,22.99,62.09,6.6,80.17,maize
32,25,30,28.91,52.87,6.08,94.83,mango
29,17,39,23.35,88.14,6.36,105.72,pomegranate
109,21,52,26.22,84.17,6.5,49.68,watermelon
107,16,27,23.54,54.69,6.21,156.7,coffee
23,66,16,24.06,67.23,5.96,39.95,lentil
85,42,26,20.38,61.05,6.32,73.72,maize
32,50,17,36.29,86.19,6.95,47.82,mungbean
112,56,19,22.39,82.73,6.84,93.37,cotton
125,46,20,23.19,85.86,7.22,92.2,cotton
24,74,23,36.52,50.83,6.45,109.77,pigeonpeas
35,69,18,18.07,21.87,5.62,121.16,kidneybeans
84,44,43,24.22,77.73,6.56,159.69,jute
19,77,23,33.64,63.27,6.67,139.86,pigeonpeas
28,129,201,22.58,82.5,6.36,71.32,grapes
58,64,20,26.12,63.75,7.45,70.22,blackgram
75,50,42,25.76,84.36,6.1,226.95,rice
30,17,41,25.07,90.64,6.05,108.1,pomegranate
100,80,52,27.19,76.27,5.8,105.19,banana
43,33,28,29.06,53.45,5.58,93.9,mango
123,60,21,23.99,81.61,6.27,80.22,cotton
121,19,45,25.48,83.87,6.16,45.06,watermelon
86,41,43,21.76,83.09,6.53,240.74,rice
95,21,52,25.12,83.17,6.46,51.65,watermelon
24,131,200,22.61,91.7,6.32,107.66,apple
101,91,49,28.48,81.65,5.75,96.84,banana
104,30,31,25.55,59.07,6.79,161.14,coffee
68,37,39,25.15,75.62,6.31,184.65,jute
73,45,20,21.33,68.68,5.89,63.36,maize
