Crop,District,Soil,Rainfall,Temperature,Humidity,N,P,K,pH,Season,Irrigation,Yield
Maize,Junagadh,Red,711.0,28.2,59.0,41.0,65.3,103.5,6.94,Kharif,Rainfed,5.43
Cotton,Rajkot,Black,1492.5,23.8,93.7,116.0,63.4,71.5,7.88,Kharif,Drip,3.68
Rice,Junagadh,Clay,1122.0,22.1,84.5,44.3,81.2,105.2,5.73,Kharif,Sprinkler,5.06
Wheat,Ahmedabad,Sandy,703.7,18.5,74.0,101.4,10.8,65.5,6.74,Rabi,Canal,4.91
Cotton,Vadodara,Sandy,1092.4,32.9,78.0,43.0,82.4,35.8,5.58,Kharif,Tube Well,3.04
Soybean,Ahmedabad,Clay,779.9,22.5,61.9,101.6,14.7,112.6,6.17,Kharif,Drip,3.99
Cotton,Rajkot,Red,2002.3,27.6,86.1,86.8,78.2,48.1,7.07,Kharif,Tube Well,2.9
Cotton,Ahmedabad,Red,2078.0,23.3,86.7,36.9,41.2,58.2,5.98,Kharif,Canal,2.12
Cotton,Amreli,Black,2030.2,27.0,74.0,45.7,13.0,19.5,8.11,Kharif,Sprinkler,2.07
Soybean,Amreli,Clay,1053.2,29.9,66.8,124.4,38.8,112.3,7.6,Kharif,Tube Well,4.15
Maize,Rajkot,Sandy,955.4,21.1,69.1,36.9,79.6,86.0,8.48,Kharif,Canal,4.14
Maize,Junagadh,Alluvial,855.7,24.5,80.1,82.6,25.5,108.7,5.59,Kharif,Canal,5.89
Maize,Vadodara,Clay,634.4,24.6,79.1,21.9,31.8,15.3,6.75,Rabi,Rainfed,5.35
Cotton,Junagadh,Clay,1174.3,30.8,80.9,28.3,87.5,108.2,6.28,Kharif,Rainfed,3.18
Soybean,Rajkot,Black,1174.5,25.6,80.3,35.9,57.6,62.2,6.77,Kharif,Canal,3.88
Soybean,Ahmedabad,Black,744.8,28.1,51.7,98.1,27.7,23.6,6.4,Kharif,Drip,4.8
Soybean,Junagadh,Sandy,1367.2,24.2,77.8,21.6,53.8,93.0,6.15,Kharif,Tube Well,2.22
Cotton,Surat,Clay,1333.2,28.2,79.1,112.3,18.4,95.7,7.57,Kharif,Drip,4.36
Barley,Amreli,Red,876.9,20.2,40.4,27.2,89.4,22.6,5.64,Rabi,Tube Well,4.5
Rice,Bhavnagar,Red,1905.1,29.5,73.8,98.7,61.3,37.0,5.59,Kharif,Sprinkler,4.88
Soybean,Junagadh,Black,895.4,28.4,57.2,64.5,60.7,16.9,7.67,Kharif,Sprinkler,4.02
Barley,Rajkot,Black,596.4,23.9,67.1,54.6,35.9,86.3,7.19,Rabi,Rainfed,4.44
Wheat,Ahmedabad,Alluvial,468.9,22.8,40.7,100.5,47.5,51.4,8.09,Rabi,Rainfed,4.95
Rice,Vadodara,Sandy,1407.0,25.4,83.6,41.4,70.6,20.0,8.38,Kharif,Rainfed,4.35
Barley,Junagadh,Red,531.0,19.5,42.2,45.0,48.9,24.0,8.03,Rabi,Canal,4.38
Cotton,Ahmedabad,Alluvial,1576.3,30.4,94.3,97.1,12.5,91.0,8.22,Kharif,Canal,3.77
Maize,Bhavnagar,Alluvial,1170.0,29.7,62.3,27.5,59.8,34.8,7.21,Rabi,Drip,6.07
Soybean,Surat,Clay,771.7,25.2,71.7,118.3,70.9,118.7,5.52,Kharif,Canal,4.04
Soybean,Bhavnagar,Sandy,662.5,18.5,59.6,120.2,33.5,21.0,5.66,Kharif,Sprinkler,2.41
Wheat,Amreli,Red,584.9,13.4,57.3,103.6,31.7,46.2,8.03,Rabi,Drip,4.46
Rice,Bhavnagar,Clay,1061.4,29.1,80.9,125.1,47.0,44.3,6.19,Kharif,Sprinkler,5.65
Soybean,Rajkot,Sandy,1101.5,21.2,61.1,135.5,37.8,51.4,7.29,Kharif,Tube Well,2.99
Rice,Surat,Black,847.7,33.5,81.4,60.6,30.1,77.3,6.12,Summer,Sprinkler,5.28
Soybean,Amreli,Clay,581.0,25.9,54.0,36.7,34.0,44.6,7.31,Kharif,Sprinkler,4.27
Barley,Ahmedabad,Red,840.9,20.9,47.8,26.4,59.2,20.0,7.34,Rabi,Rainfed,4.32
Maize,Amreli,Clay,998.4,28.2,51.5,21.3,46.6,28.8,7.49,Kharif,Canal,5.57
Cotton,Ahmedabad,Alluvial,832.3,22.7,93.6,37.1,66.7,22.1,5.82,Kharif,Tube Well,3.03
Soybean,Ahmedabad,Red,1201.6,26.4,65.9,62.7,85.8,78.3,7.24,Kharif,Drip,3.98
Maize,Surat,Black,735.7,27.6,82.3,60.8,50.2,63.6,5.97,Rabi,Tube Well,6.24
Wheat,Bhavnagar,Red,854.3,23.9,57.9,106.3,74.1,66.8,5.85,Rabi,Tube Well,5.31
Soybean,Amreli,Clay,666.7,31.5,64.1,98.4,11.5,28.4,7.85,Kharif,Drip,4.19
Barley,Ahmedabad,Alluvial,359.6,14.7,66.3,132.5,17.0,73.6,6.26,Rabi,Canal,4.63
Barley,Ahmedabad,Alluvial,588.2,24.8,55.8,109.3,47.4,38.9,6.1,Rabi,Sprinkler,4.82
Wheat,Surat,Black,682.8,21.6,49.9,77.8,13.6,100.8,8.47,Rabi,Canal,5.13
Cotton,Ahmedabad,Clay,1423.2,30.9,68.8,108.0,31.5,62.1,8.15,Kharif,Sprinkler,3.66
Wheat,Rajkot,Red,816.2,20.8,57.1,126.8,77.6,46.2,7.87,Rabi,Rainfed,4.94
Maize,Bhavnagar,Black,1182.1,25.4,74.6,51.2,85.4,70.7,7.99,Kharif,Tube Well,5.49
Rice,Vadodara,Sandy,1317.9,28.3,74.9,117.0,20.4,116.1,7.4,Kharif,Rainfed,4.95
Cotton,Amreli,Clay,964.0,26.2,93.8,96.0,54.3,89.1,6.75,Kharif,Tube Well,4.2
Maize,Bhavnagar,Clay,740.6,21.9,68.3,71.7,61.8,53.3,6.19,Rabi,Sprinkler,6.08
Rice,Junagadh,Sandy,1349.4,25.9,92.9,102.0,31.0,82.7,8.05,Summer,Drip,5.05
Maize,Ahmedabad,Sandy,1398.7,24.1,74.6,41.9,58.8,91.2,6.44,Kharif,Rainfed,4.09
Cotton,Bhavnagar,Clay,1559.1,34.4,85.3,50.0,55.9,114.0,7.67,Kharif,Tube Well,3.22
Soybean,Bhavnagar,Black,1219.0,19.9,62.2,135.8,49.2,26.7,6.88,Kharif,Canal,3.16
Barley,Amreli,Alluvial,618.6,19.0,61.7,20.4,84.5,53.0,6.69,Rabi,Drip,4.89
Barley,Junagadh,Red,790.0,25.1,54.1,105.0,50.6,99.4,7.64,Rabi,Rainfed,3.94
Maize,Bhavnagar,Black,585.7,19.7,77.4,62.0,27.9,52.0,7.44,Kharif,Rainfed,4.64
Cotton,Bhavnagar,Alluvial,970.1,33.3,79.4,74.1,43.9,68.5,8.34,Kharif,Drip,3.81
Rice,Vadodara,Sandy,1590.7,34.1,89.6,34.7,77.9,58.5,6.26,Summer,Drip,4.57
Wheat,Bhavnagar,Sandy,494.9,12.1,57.3,32.0,70.4,44.0,6.83,Rabi,Tube Well,3.83
Maize,Amreli,Red,1353.1,26.0,60.7,79.5,50.1,17.4,6.57,Rabi,Drip,5.11
Soybean,Surat,Alluvial,801.6,30.1,68.4,83.4,86.9,48.7,6.94,Kharif,Rainfed,4.57
Maize,Ahmedabad,Alluvial,846.5,29.7,83.2,116.7,40.2,97.8,6.55,Kharif,Sprinkler,6.57
Barley,Bhavnagar,Red,811.1,24.0,69.1,115.9,39.0,37.8,8.29,Rabi,Sprinkler,4.18
Rice,Bhavnagar,Black,961.8,23.0,87.8,78.3,37.4,58.9,8.29,Summer,Canal,4.9
Wheat,Bhavnagar,Red,362.4,24.0,64.3,112.2,76.9,27.9,7.97,Rabi,Drip,5.29
Barley,Ahmedabad,Alluvial,723.1,16.0,48.8,65.8,50.1,114.9,7.79,Rabi,Rainfed,4.55
Soybean,Ahmedabad,Clay,1398.9,23.2,60.5,123.0,89.9,81.1,7.89,Kharif,Drip,3.18
Maize,Junagadh,Sandy,569.3,18.4,80.9,109.8,89.4,56.7,6.75,Kharif,Tube Well,4.72
Barley,Bhavnagar,Red,668.3,17.1,42.8,126.4,25.9,93.6,6.35,Rabi,Drip,4.98
Cotton,Rajkot,Black,1827.6,24.4,73.6,123.8,80.8,19.7,6.0,Kharif,Rainfed,3.0
Maize,Junagadh,Red,618.7,24.9,53.7,61.5,21.9,81.8,8.35,Kharif,Sprinkler,5.69
Rice,Junagadh,Alluvial,1088.6,27.6,67.3,103.4,30.2,47.7,5.86,Summer,Tube Well,5.92
Soybean,Junagadh,Red,1014.9,26.0,64.4,43.1,69.6,28.3,5.81,Kharif,Rainfed,3.34
Soybean,Vadodara,Clay,904.4,27.9,71.8,97.3,67.1,45.7,6.47,Kharif,Canal,4.65
Maize,Rajkot,Black,1395.0,18.5,55.7,127.1,14.8,108.1,7.65,Rabi,Tube Well,3.72
Soybean,Rajkot,Black,957.1,29.3,79.4,129.2,50.7,87.9,5.84,Kharif,Drip,4.57
Soybean,Surat,Red,1070.6,21.6,51.8,21.2,11.8,15.9,5.83,Kharif,Drip,2.85
Wheat,Amreli,Clay,650.1,24.0,63.7,55.5,54.9,90.1,7.68,Rabi,Rainfed,4.71
Rice,Vadodara,Sandy,1610.5,28.0,84.2,118.2,10.5,119.2,6.05,Kharif,Rainfed,4.78
Maize,Ahmedabad,Alluvial,855.6,20.5,62.7,64.8,89.5,119.5,5.84,Rabi,Sprinkler,5.43
Maize,Surat,Clay,1132.1,31.5,60.5,110.8,44.7,73.6,7.95,Rabi,Rainfed,5.07
Cotton,Junagadh,Clay,1719.4,28.1,88.7,118.1,33.2,50.7,8.31,Kharif,Rainfed,2.78
Barley,Bhavnagar,Alluvial,604.0,26.0,69.4,108.8,79.7,81.6,8.03,Rabi,Canal,4.66
Wheat,Rajkot,Black,846.7,23.4,51.0,136.8,33.0,108.4,8.14,Rabi,Tube Well,5.12
Wheat,Junagadh,Alluvial,574.0,19.9,67.8,52.8,60.1,101.9,7.62,Rabi,Sprinkler,6.09
Maize,Junagadh,Clay,1066.7,31.8,63.9,59.8,60.0,101.7,8.31,Rabi,Sprinkler,5.2
Rice,Rajkot,Black,967.7,31.8,65.2,76.6,19.5,104.2,8.38,Summer,Drip,5.38
Wheat,Ahmedabad,Red,542.5,18.2,42.3,115.5,29.3,63.4,6.94,Rabi,Sprinkler,5.5
Maize,Junagadh,Alluvial,1377.4,27.5,64.6,104.2,70.5,96.9,6.93,Kharif,Tube Well,5.48
Cotton,Vadodara,Clay,1084.4,34.9,92.4,138.7,79.9,119.8,6.23,Kharif,Tube Well,3.44
Wheat,Amreli,Clay,404.1,25.7,50.4,124.5,10.3,17.2,6.9,Rabi,Sprinkler,4.9
Rice,Bhavnagar,Clay,1059.8,33.1,77.5,31.2,48.7,24.5,5.89,Summer,Tube Well,4.75
Rice,Vadodara,Clay,1318.1,24.4,68.0,59.3,20.9,31.4,7.55,Summer,Rainfed,5.04
Barley,Vadodara,Alluvial,737.7,17.0,41.6,38.9,21.0,76.9,8.19,Rabi,Rainfed,4.34
Soybean,Junagadh,Sandy,899.4,21.4,73.8,124.8,39.8,103.4,6.79,Kharif,Drip,3.52
Cotton,Vadodara,Clay,1729.0,24.1,68.1,88.7,42.1,60.1,8.4,Kharif,Drip,3.18
Maize,Vadodara,Black,1352.1,19.4,55.4,135.2,13.0,117.7,5.51,Kharif,Rainfed,3.62
Barley,Amreli,Black,709.9,13.1,48.5,112.8,52.3,112.4,6.79,Rabi,Rainfed,4.4
Wheat,Junagadh,Clay,413.4,25.0,68.7,47.0,79.9,42.7,6.12,Rabi,Tube Well,4.92
Wheat,Amreli,Alluvial,885.8,18.2,42.1,109.9,55.2,62.0,6.43,Rabi,Sprinkler,5.68
Rice,Amreli,Black,2027.6,29.6,72.1,122.1,54.6,36.7,7.37,Summer,Sprinkler,4.78
Maize,Amreli,Red,856.4,31.8,78.3,39.2,32.2,49.6,7.45,Rabi,Tube Well,5.41
Wheat,Junagadh,Black,572.4,15.2,40.6,89.0,27.0,36.9,5.88,Rabi,Tube Well,4.9
Barley,Bhavnagar,Black,387.5,17.9,48.6,77.2,83.6,91.0,7.49,Rabi,Canal,5.36
Rice,Vadodara,Alluvial,872.4,25.0,67.2,54.7,60.2,74.4,7.34,Kharif,Drip,5.55
Barley,Surat,Clay,817.0,20.6,46.5,41.3,79.8,93.0,7.48,Rabi,Canal,4.96
Soybean,Ahmedabad,Sandy,1381.5,29.2,60.6,121.7,70.7,46.2,6.78,Kharif,Canal,3.17
Cotton,Bhavnagar,Black,907.3,28.6,89.1,114.7,70.8,51.6,6.86,Kharif,Canal,4.3
Barley,Rajkot,Red,857.7,15.8,74.6,100.4,47.1,79.4,6.32,Rabi,Canal,4.59
Maize,Amreli,Red,1047.2,19.4,79.8,92.2,86.9,85.4,6.03,Kharif,Rainfed,4.41
Rice,Surat,Clay,2140.5,32.9,87.1,102.8,43.9,111.9,5.72,Kharif,Canal,3.53
Cotton,Bhavnagar,Alluvial,1973.9,30.2,77.1,133.6,29.7,99.3,7.34,Kharif,Canal,3.28
Barley,Vadodara,Sandy,502.2,13.5,42.6,61.7,59.2,102.9,6.05,Rabi,Drip,3.67
Rice,Bhavnagar,Sandy,1645.4,28.1,89.7,130.9,61.1,101.2,5.68,Kharif,Tube Well,4.66
Soybean,Bhavnagar,Black,730.9,18.7,83.8,122.2,83.1,104.0,6.94,Kharif,Canal,3.37
Soybean,Junagadh,Clay,511.3,30.6,70.3,62.2,28.6,79.8,7.03,Kharif,Drip,4.49
Maize,Surat,Red,942.5,19.8,50.2,101.3,54.0,49.8,6.01,Rabi,Drip,4.97
Maize,Rajkot,Sandy,1265.2,23.0,58.0,41.1,35.8,22.1,5.6,Kharif,Drip,4.34
Cotton,Amreli,Clay,1867.2,22.5,93.1,31.4,63.9,29.0,8.14,Kharif,Drip,2.34
Rice,Surat,Black,1097.7,27.2,65.2,103.2,35.8,75.0,8.37,Kharif,Drip,5.84
Cotton,Rajkot,Sandy,1375.5,32.7,68.0,113.2,39.7,19.1,6.59,Kharif,Drip,3.28
Barley,Ahmedabad,Alluvial,861.5,21.9,51.5,66.9,69.3,78.2,7.51,Rabi,Drip,5.36
Maize,Ahmedabad,Red,876.1,22.1,76.8,111.7,33.4,23.5,5.53,Rabi,Rainfed,4.58
Soybean,Ahmedabad,Alluvial,1383.7,27.8,67.4,71.7,86.3,36.6,6.44,Kharif,Tube Well,3.39
Barley,Bhavnagar,Red,500.7,19.1,73.6,40.7,67.6,79.5,7.54,Rabi,Rainfed,4.17
Soybean,Bhavnagar,Clay,859.5,24.4,81.7,127.3,87.3,107.9,5.52,Kharif,Tube Well,3.95
Cotton,Amreli,Red,1716.5,22.7,68.1,35.4,17.3,33.7,7.57,Kharif,Canal,2.62
Wheat,Bhavnagar,Red,712.9,16.5,51.9,99.4,47.4,100.3,5.97,Rabi,Sprinkler,5.43
Cotton,Vadodara,Black,1071.7,31.2,90.6,50.3,36.2,71.4,6.13,Kharif,Rainfed,3.71
Rice,Ahmedabad,Red,1686.3,22.7,83.3,38.3,76.4,52.3,6.34,Kharif,Rainfed,4.52
Maize,Vadodara,Clay,833.0,22.0,81.9,110.1,15.1,90.0,7.08,Kharif,Tube Well,5.49
Wheat,Rajkot,Sandy,600.9,14.9,66.4,74.2,86.7,42.4,7.55,Rabi,Canal,4.82
Maize,Rajkot,Black,615.5,23.3,70.5,108.5,10.3,42.4,7.11,Rabi,Rainfed,6.03
Maize,Ahmedabad,Alluvial,668.2,26.1,74.0,34.4,19.8,74.4,6.31,Rabi,Rainfed,5.91
Barley,Bhavnagar,Sandy,448.2,12.0,69.9,105.8,65.2,72.4,7.6,Rabi,Canal,3.68
Maize,Amreli,Black,1000.8,25.2,80.1,98.2,25.1,21.6,6.77,Rabi,Sprinkler,6.0
Rice,Bhavnagar,Sandy,1264.4,24.5,72.3,119.9,59.2,110.9,6.2,Summer,Rainfed,4.99
Wheat,Junagadh,Alluvial,779.9,12.2,68.6,56.1,22.0,38.8,6.91,Rabi,Rainfed,4.32
Wheat,Amreli,Red,444.7,22.7,74.7,113.3,33.7,40.7,6.15,Rabi,Sprinkler,5.21
Cotton,Bhavnagar,Black,1082.7,34.0,85.3,85.5,42.1,60.2,5.67,Kharif,Tube Well,3.3
Wheat,Bhavnagar,Alluvial,385.6,22.3,47.4,67.2,15.1,38.8,7.88,Rabi,Canal,5.14
Wheat,Ahmedabad,Sandy,514.5,20.8,68.7,81.4,67.4,47.7,6.42,Rabi,Canal,5.23
Soybean,Bhavnagar,Alluvial,1360.9,20.8,80.2,58.6,89.2,31.6,7.05,Kharif,Tube Well,2.84
Soybean,Ahmedabad,Clay,1301.5,22.8,66.3,127.5,31.8,111.1,7.99,Kharif,Rainfed,3.06
Barley,Vadodara,Black,875.1,16.7,59.8,68.4,41.7,35.3,7.11,Rabi,Rainfed,4.57
Barley,Amreli,Sandy,405.5,20.5,63.8,97.2,78.9,66.1,5.9,Rabi,Canal,4.67
Maize,Bhavnagar,Clay,977.9,27.6,72.3,125.8,56.9,96.8,6.25,Rabi,Canal,6.28
Cotton,Amreli,Sandy,1199.2,34.6,68.9,99.1,53.8,66.9,6.43,Kharif,Canal,3.21
Soybean,Rajkot,Red,588.8,26.0,53.4,39.2,16.8,55.0,8.03,Kharif,Sprinkler,4.11
Maize,Vadodara,Red,1074.8,23.4,64.9,29.0,12.5,88.0,6.82,Kharif,Tube Well,5.24
Cotton,Rajkot,Red,1459.1,27.4,89.6,74.1,58.3,109.0,8.1,Kharif,Tube Well,3.56
Barley,Amreli,Black,850.1,21.1,42.9,36.2,22.5,81.2,7.71,Rabi,Rainfed,4.5
Wheat,Rajkot,Sandy,580.8,13.4,41.4,77.5,57.9,23.3,6.36,Rabi,Tube Well,4.41
Cotton,Junagadh,Red,1030.8,24.4,90.3,54.1,67.2,74.6,8.43,Kharif,Rainfed,2.73
Cotton,Vadodara,Black,1375.5,24.3,71.1,103.2,83.4,56.4,6.04,Kharif,Sprinkler,4.01
Wheat,Surat,Sandy,858.3,19.1,48.7,68.2,67.5,107.0,6.81,Rabi,Tube Well,4.65
Maize,Vadodara,Sandy,1276.1,20.2,66.9,46.2,58.2,73.7,6.64,Rabi,Sprinkler,4.08
Maize,Amreli,Clay,700.5,19.8,65.4,126.5,30.2,54.2,8.04,Kharif,Canal,5.23
Maize,Amreli,Red,1144.8,21.2,84.6,87.2,65.7,27.4,6.25,Rabi,Rainfed,4.56
Cotton,Surat,Red,952.2,32.5,66.4,44.2,73.4,93.0,6.93,Kharif,Drip,3.57
Maize,Surat,Sandy,893.0,19.3,82.1,113.4,14.5,70.1,5.75,Rabi,Canal,4.45
Soybean,Junagadh,Sandy,1128.4,31.0,78.4,119.4,55.6,47.1,6.15,Kharif,Drip,3.93
Maize,Bhavnagar,Alluvial,1337.8,26.0,75.7,134.1,16.7,15.6,5.59,Kharif,Tube Well,5.34
Rice,Rajkot,Alluvial,1320.7,22.4,69.1,40.8,14.4,83.9,8.01,Summer,Rainfed,4.86
Cotton,Amreli,Alluvial,1098.7,26.6,69.5,94.5,43.6,79.4,7.79,Kharif,Sprinkler,4.64
Rice,Bhavnagar,Black,1952.2,30.2,83.4,118.5,37.4,35.3,6.1,Kharif,Canal,4.91
Wheat,Vadodara,Clay,416.4,20.8,40.0,22.2,41.2,87.6,7.59,Rabi,Canal,5.43
Wheat,Amreli,Clay,439.4,20.4,57.2,43.3,70.0,43.9,6.65,Rabi,Drip,5.41
Cotton,Surat,Alluvial,1403.0,28.6,87.3,111.8,22.7,77.2,8.19,Kharif,Drip,4.21
Soybean,Vadodara,Alluvial,549.9,18.0,53.5,115.1,86.9,59.8,7.04,Kharif,Rainfed,2.95
Barley,Bhavnagar,Black,820.0,26.0,51.1,37.9,73.5,78.0,5.8,Rabi,Rainfed,3.84
Cotton,Surat,Sandy,1763.4,35.4,78.8,82.8,29.2,108.6,8.41,Kharif,Tube Well,2.09
Maize,Rajkot,Clay,930.6,25.5,67.2,116.3,63.6,28.3,6.54,Kharif,Sprinkler,6.18
Maize,Amreli,Red,800.8,31.4,68.2,68.1,51.7,96.8,6.52,Kharif,Canal,5.62
Maize,Vadodara,Red,1141.4,30.3,63.0,29.0,86.7,60.7,7.37,Kharif,Tube Well,5.43
Wheat,Junagadh,Alluvial,787.1,25.5,42.5,52.2,16.4,93.9,5.92,Rabi,Drip,5.53
Rice,Surat,Black,1034.3,35.7,76.3,32.8,49.5,106.8,8.16,Summer,Canal,4.89
Rice,Ahmedabad,Sandy,1209.4,27.6,87.9,49.3,77.1,54.5,7.1,Kharif,Rainfed,5.36
Barley,Bhavnagar,Clay,467.4,18.0,72.9,71.4,38.7,61.3,7.06,Rabi,Sprinkler,5.08
Rice,Amreli,Sandy,1721.1,32.0,81.7,26.8,23.6,45.0,6.35,Summer,Tube Well,4.26
Cotton,Rajkot,Black,1171.5,26.3,80.8,45.9,80.8,24.0,6.83,Kharif,Rainfed,3.86
Cotton,Rajkot,Red,967.9,32.2,82.1,84.0,46.2,117.5,5.65,Kharif,Canal,3.72
Soybean,Ahmedabad,Sandy,713.4,24.0,75.6,94.9,29.0,67.8,8.28,Kharif,Canal,3.46
Soybean,Amreli,Black,531.6,20.4,75.5,42.0,50.9,24.8,8.26,Kharif,Sprinkler,3.43
Rice,Bhavnagar,Sandy,965.4,26.3,88.4,85.2,76.6,26.7,8.26,Summer,Drip,5.62
Wheat,Surat,Sandy,552.8,12.1,64.1,137.7,87.3,31.9,6.04,Rabi,Rainfed,3.75
Soybean,Surat,Sandy,532.5,22.5,76.7,135.2,32.1,40.9,7.19,Kharif,Sprinkler,3.7
Barley,Junagadh,Alluvial,351.9,12.6,47.0,42.3,30.4,47.0,6.58,Rabi,Tube Well,4.14
Barley,Bhavnagar,Black,373.3,21.4,58.8,73.3,60.8,101.9,6.78,Rabi,Drip,5.32
Soybean,Junagadh,Black,1004.5,31.7,68.1,131.3,42.6,119.9,7.24,Kharif,Drip,4.49
Wheat,Surat,Sandy,501.0,12.5,68.7,53.1,73.7,45.3,6.08,Rabi,Rainfed,3.76
Wheat,Bhavnagar,Red,628.7,15.8,58.5,125.9,85.6,25.6,6.32,Rabi,Rainfed,4.97
Wheat,Ahmedabad,Alluvial,811.7,25.2,49.6,40.4,48.7,88.7,6.18,Rabi,Tube Well,4.86
Barley,Junagadh,Clay,408.5,24.7,74.9,39.7,14.4,49.6,6.88,Rabi,Tube Well,4.15
Cotton,Ahmedabad,Alluvial,1081.2,32.8,86.4,96.2,41.0,110.4,8.41,Kharif,Rainfed,3.27
Soybean,Ahmedabad,Red,1023.6,25.3,61.6,85.1,86.7,36.6,7.46,Kharif,Drip,4.14
Wheat,Surat,Alluvial,625.9,17.1,46.0,124.0,41.5,112.1,8.04,Rabi,Drip,5.91
Wheat,Ahmedabad,Clay,897.3,25.1,40.1,126.3,15.3,115.1,6.35,Rabi,Drip,4.81
Barley,Surat,Sandy,869.4,20.6,65.1,111.4,31.0,19.7,5.51,Rabi,Canal,3.99
Wheat,Surat,Alluvial,703.5,21.8,50.5,111.0,26.4,72.1,7.91,Rabi,Rainfed,5.14
Wheat,Ahmedabad,Alluvial,673.6,19.9,63.1,120.0,68.1,98.0,6.37,Rabi,Rainfed,5.9
Soybean,Vadodara,Sandy,600.4,20.6,67.6,121.9,28.9,113.2,8.36,Kharif,Drip,2.87
Barley,Surat,Red,551.0,17.6,68.8,29.7,35.3,116.5,5.96,Rabi,Drip,4.51
Soybean,Rajkot,Sandy,950.8,21.2,69.0,46.4,62.0,110.0,5.76,Kharif,Drip,3.4
Maize,Rajkot,Black,570.8,24.8,57.3,43.9,85.3,95.0,7.59,Kharif,Rainfed,5.7
Wheat,Ahmedabad,Black,563.5,15.9,60.0,50.1,34.9,104.3,7.31,Rabi,Rainfed,4.88
Wheat,Ahmedabad,Black,721.4,25.1,48.3,103.2,88.0,116.0,6.2,Rabi,Tube Well,5.51
Maize,Bhavnagar,Clay,745.4,25.1,61.0,138.9,44.5,106.3,8.19,Rabi,Drip,6.27
Cotton,Bhavnagar,Alluvial,848.2,27.8,70.8,42.1,33.0,41.1,7.55,Kharif,Rainfed,3.55
Barley,Amreli,Sandy,529.8,14.4,61.0,105.5,35.4,71.6,7.57,Rabi,Canal,3.86
Soybean,Amreli,Clay,817.6,23.3,65.7,114.8,74.2,90.6,5.57,Kharif,Tube Well,4.33
Wheat,Ahmedabad,Red,652.1,12.0,51.3,46.4,87.7,91.4,6.55,Rabi,Tube Well,4.46
Soybean,Ahmedabad,Black,692.1,25.5,79.2,93.9,60.7,71.8,8.28,Kharif,Drip,4.57
Soybean,Junagadh,Clay,1072.7,25.0,53.6,43.7,48.4,108.2,7.2,Kharif,Sprinkler,4.02
Rice,Ahmedabad,Black,2098.8,26.9,74.9,88.6,29.6,83.4,8.0,Kharif,Drip,4.68
Maize,Ahmedabad,Black,1304.2,31.1,77.3,130.5,34.5,41.0,6.65,Kharif,Sprinkler,5.33
Rice,Rajkot,Sandy,1577.0,26.1,70.9,63.7,63.4,61.9,8.3,Summer,Tube Well,4.74
Soybean,Bhavnagar,Alluvial,767.6,21.6,63.4,62.7,39.8,48.4,7.36,Kharif,Tube Well,3.81
Soybean,Amreli,Alluvial,1029.6,25.5,77.5,86.7,78.6,39.4,7.92,Kharif,Sprinkler,4.37
Maize,Vadodara,Black,644.6,28.3,65.1,73.5,34.7,78.8,6.06,Rabi,Canal,6.24
Maize,Vadodara,Alluvial,1344.2,28.1,69.3,112.4,39.7,91.7,6.73,Rabi,Drip,5.94
Cotton,Bhavnagar,Black,1591.7,31.7,88.0,127.5,38.4,114.9,7.41,Kharif,Canal,3.56
Cotton,Vadodara,Black,1087.8,23.0,86.8,81.3,66.2,65.1,6.44,Kharif,Drip,4.33
Maize,Junagadh,Red,1217.2,22.9,77.1,51.5,36.3,26.3,8.31,Kharif,Canal,4.43
Soybean,Vadodara,Clay,849.2,24.9,60.3,112.3,41.5,91.6,6.12,Kharif,Drip,4.65
Wheat,Amreli,Alluvial,453.6,23.0,60.9,127.2,23.8,59.2,8.0,Rabi,Canal,5.66
Maize,Junagadh,Black,524.7,18.9,75.7,58.6,37.8,36.9,6.84,Rabi,Tube Well,4.9
Barley,Surat,Clay,563.8,17.4,57.6,42.8,80.1,75.1,6.08,Rabi,Rainfed,4.44
Barley,Bhavnagar,Red,825.8,20.1,43.9,45.8,32.4,40.3,6.99,Rabi,Canal,4.69
Wheat,Bhavnagar,Black,829.4,12.5,54.2,114.2,75.2,112.4,7.61,Rabi,Sprinkler,4.95
Rice,Surat,Sandy,1576.0,31.3,92.9,102.5,35.6,35.9,8.06,Summer,Canal,4.66
Barley,Rajkot,Red,866.0,25.5,74.1,24.7,85.7,119.7,8.33,Rabi,Canal,3.82
Soybean,Rajkot,Sandy,1248.0,21.9,69.2,30.0,83.2,57.4,6.68,Kharif,Tube Well,2.55
Soybean,Rajkot,Alluvial,1220.0,29.7,60.6,76.3,79.9,20.5,8.17,Kharif,Tube Well,3.4
Barley,Ahmedabad,Red,670.4,19.7,70.1,32.2,37.8,71.5,7.93,Rabi,Rainfed,4.33
Soybean,Junagadh,Clay,581.8,25.2,52.2,62.8,58.1,73.4,6.71,Kharif,Tube Well,4.25
Rice,Ahmedabad,Sandy,1354.3,32.1,83.4,54.3,62.3,83.8,7.28,Summer,Tube Well,5.28
Soybean,Bhavnagar,Alluvial,1190.0,22.1,50.7,133.3,23.6,16.0,6.21,Kharif,Rainfed,3.0
Cotton,Surat,Sandy,1439.7,27.8,81.7,49.2,14.2,113.6,6.06,Kharif,Drip,3.41
Rice,Surat,Black,1329.4,31.6,71.9,70.8,54.6,108.3,6.48,Kharif,Sprinkler,5.5
